seq_ix,r2,mse
247,-0.15323162078857422,0.05458672344684601
183,-0.06440441310405731,0.3107011318206787
366,-0.014510957524180412,0.30252936482429504
241,-0.012754397466778755,0.2908647954463959
319,0.001411912962794304,0.32014474272727966
352,0.004259513691067696,0.6407768130302429
14,0.00464869849383831,0.3967154026031494
403,0.004891965538263321,0.34589484333992004
115,0.008247999474406242,0.47349947690963745
21,0.014340514317154884,0.27224278450012207
322,0.014900755137205124,0.2974860370159149
104,0.019125526770949364,0.35732021927833557
193,0.019272619858384132,0.3810136318206787
485,0.020237857475876808,0.4821341037750244
372,0.0205705426633358,0.5885058045387268
240,0.02130909636616707,0.5596001744270325
354,0.02191014587879181,0.35454195737838745
79,0.025320477783679962,0.35633987188339233
231,0.026759276166558266,0.5126538276672363
514,0.028137246146798134,1.2326327562332153
120,0.02850656770169735,0.5971792340278625
216,0.03004719316959381,0.37341436743736267
367,0.03056737594306469,0.4503765106201172
24,0.03250156529247761,0.3090408146381378
487,0.033931948244571686,0.7089713215827942
98,0.0365403164178133,0.42128345370292664
482,0.03835063986480236,0.479204386472702
191,0.03950737044215202,0.5839117169380188
270,0.040218304842710495,0.6297974586486816
53,0.040942391380667686,0.873180091381073
256,0.04100222513079643,0.4481252133846283
52,0.04248726740479469,0.35553017258644104
184,0.04373486526310444,0.649726152420044
271,0.04536830447614193,0.3141149878501892
29,0.048002202063798904,0.406332790851593
453,0.04813303425908089,0.6148510575294495
246,0.04894039407372475,0.2847687005996704
384,0.050051696598529816,0.7116186022758484
455,0.05169576033949852,0.5611609816551208
160,0.05188274011015892,0.6941495537757874
200,0.05394481308758259,0.644176721572876
152,0.054291898384690285,0.4396148920059204
91,0.054985327646136284,0.39015302062034607
83,0.05513661727309227,0.6203993558883667
340,0.055609848350286484,0.419277548789978
466,0.056507108733057976,0.6420500874519348
277,0.05670761875808239,0.47215574979782104
220,0.056838832795619965,0.5482197999954224
136,0.059167370200157166,0.4112476110458374
381,0.0592528972774744,0.5422305464744568
448,0.059600772336125374,0.4738079607486725
379,0.060127878561615944,0.5471968054771423
243,0.060404904186725616,0.27288445830345154
75,0.06053493544459343,1.4077783823013306
288,0.061275236308574677,0.79800945520401
428,0.06245250627398491,0.4894936680793762
430,0.06254814565181732,1.1725064516067505
209,0.0631937850266695,0.5537853837013245
456,0.06385775655508041,0.44635555148124695
215,0.06535367853939533,0.33563151955604553
25,0.06659838743507862,0.6631391644477844
222,0.06689580902457237,0.3602401614189148
128,0.0679816734045744,0.5833253860473633
376,0.06864493899047375,0.3088701069355011
373,0.07020765542984009,0.599637508392334
103,0.07022183202207088,0.3683047890663147
224,0.07182195223867893,0.5352678894996643
223,0.0728487242013216,0.8036479949951172
345,0.07342060469090939,0.55471271276474
341,0.0745784193277359,0.48032665252685547
113,0.07657178863883018,0.7314850687980652
390,0.07688713446259499,0.5007445216178894
368,0.07776651531457901,0.5572877526283264
357,0.0777821522206068,0.47888249158859253
92,0.07850660756230354,0.5357991456985474
234,0.07857614010572433,0.295286625623703
148,0.07859321497380733,0.6536145806312561
230,0.07938550598919392,0.43084052205085754
483,0.07941150292754173,0.31769418716430664
64,0.07948830723762512,0.5592305660247803
86,0.07987677119672298,0.8124978542327881
360,0.07994976453483105,0.37019917368888855
351,0.08017565868794918,0.690519392490387
194,0.08047057501971722,0.2965647578239441
261,0.08070517145097256,0.6511101722717285
255,0.08111358620226383,0.6514902114868164
10,0.08143429830670357,0.3406425714492798
257,0.08158084191381931,0.5845904350280762
165,0.08164315670728683,0.5254162549972534
451,0.0821688286960125,1.1002088785171509
333,0.08224188163876534,0.46524015069007874
235,0.08238337561488152,0.21960672736167908
423,0.08257436938583851,0.5861994028091431
309,0.08296390809118748,0.25822505354881287
278,0.0830424502491951,0.4040525257587433
213,0.08388085104525089,0.6698294281959534
264,0.08562835864722729,0.5138798952102661
394,0.08662151917815208,0.5611673593521118
50,0.08679270558059216,0.30490240454673767
163,0.08708800375461578,0.24716651439666748
43,0.08884235471487045,0.4799099564552307
166,0.08908999711275101,0.3864322006702423
413,0.09042666107416153,0.5402698516845703
132,0.09087219275534153,0.5158078074455261
1,0.09131051041185856,0.9231553077697754
228,0.09170086495578289,0.49850764870643616
280,0.09311183355748653,0.3957885801792145
385,0.09372489340603352,0.7375096082687378
202,0.09580705687403679,0.38872718811035156
58,0.09604452177882195,0.3617788255214691
493,0.09664250165224075,0.6051681041717529
382,0.09702080674469471,0.5038461685180664
321,0.09795279614627361,0.6047106385231018
41,0.09832240827381611,0.6019244194030762
47,0.0988908838480711,0.45793646574020386
275,0.09920462034642696,1.2032766342163086
304,0.10122048854827881,0.5043588876724243
31,0.10152972675859928,0.7075116038322449
149,0.10157925263047218,0.5959546566009521
218,0.10165182501077652,0.4454987347126007
310,0.10214410349726677,0.604044497013092
435,0.10246884450316429,0.4633721709251404
0,0.10279433988034725,0.3229628801345825
20,0.10360974818468094,0.3592519164085388
355,0.10573223792016506,0.5993270874023438
292,0.1061475332826376,0.6722554564476013
35,0.10632645338773727,0.3863193392753601
30,0.10720517672598362,0.8174604773521423
502,0.10769509710371494,0.8708323836326599
5,0.10848150216042995,0.5500009059906006
248,0.10855316184461117,0.597722589969635
387,0.10885821096599102,0.5636782646179199
